UserID,Avg DailySteps,Avg ActiveMinutes,Avg ExerciseMinutes,Avg Calories Burned
2172,7187,78,20,2933
2273,4427,52,51,1658
2245,7391,80,50,3086
1335,7103,77,33,1896
1074,5277,24,30,2895
2269,11591,90,22,2570
2215,4062,59,49,2327
1833,11924,73,0,2648
2311,5694,58,5,1783
1660,3397,63,33,2110
1677,7441,56,3,1723
2059,6123,32,30,2569
1387,10596,48,12,2715
1853,5599,27,16,2697
1519,3890,63,11,2288
2042,9902,15,57,3026
2090,5227,63,4,1997
1300,9029,66,6,2704
1028,10643,59,34,2388
1177,10019,68,11,2929
1417,8613,55,35,2492
1625,10496,41,9,2364
1158,6207,78,55,2190
1538,3497,65,13,1907
1084,6463,30,41,3198
1002,4526,70,32,1698
2163,9927,61,40,2398
1377,11103,70,13,3129
1351,6769,84,1,2619
1767,10172,30,51,3081
1568,11066,64,27,1821
2150,9352,67,19,2376
1583,3679,74,7,1705
2337,5981,62,46,2608
1506,9095,66,1,2649
1006,8284,15,49,2029
2498,4372,34,30,2563
1626,4948,62,0,2725
1903,10987,71,35,1648
2358,8197,61,14,3092
1743,7042,17,56,2900
2234,6181,74,16,2382
1842,8523,46,2,2986
1624,8216,79,23,2098
1285,6177,63,2,2062
1180,4837,88,33,2021
2394,10622,25,24,3190
1593,9614,23,41,2484
1701,5626,22,15,2647
2403,5987,26,16,1987
1665,3312,26,48,2912
1340,4571,82,49,3101
1885,11764,22,59,2909
1370,11120,31,44,1726
2053,10950,83,7,2113
1881,6613,41,21,1810
1949,8246,83,4,2384
2354,8963,88,50,2553
2313,10975,28,48,2588
1552,4620,38,15,2399
1459,6769,79,57,1764
2238,6617,68,23,3127
1090,4136,26,31,1664
2023,8525,27,50,1853
1046,6080,33,55,1691
1492,3258,64,18,2771
1817,7783,27,51,3083
2448,4982,73,56,2569
1647,3006,22,29,2947
2147,3740,70,3,2500
1049,7265,89,11,1704
2182,7449,66,36,2631
1061,3110,66,58,1862
2014,6377,69,27,3016
1166,8888,25,52,2583
1171,9717,15,39,2740
1833,11924,73,0,2648
2365,10531,78,40,2078
1723,3628,60,14,2401
1353,9329,23,19,2948
2199,6810,49,43,3018
2371,7003,66,57,2843
2133,10677,27,3,1801
2496,3797,90,29,2530
1352,3749,32,49,1837
1637,9991,57,39,2392
2299,5008,42,19,2866
1130,10089,60,1,2254
2095,8304,90,52,2208
1069,11295,38,60,2612
2442,7661,51,6,1665
1401,5797,50,31,2531
2403,5987,26,16,1987
2404,8231,57,50,2683
1115,9623,50,39,1641
2296,6771,68,32,3178
1487,3028,24,10,2549
1229,6011,59,6,2320
2196,3247,63,60,2899
1968,5331,50,20,2766
1165,8592,44,50,1631
1099,3580,83,39,2891
1979,9052,22,48,2714
1714,10327,24,23,1884
1761,4308,55,0,2217
1789,3546,30,40,2618
1862,4281,67,56,2699
2302,4736,77,21,1906
1415,11831,43,55,2391
2367,9954,35,18,2151
1536,5374,36,12,2345
1661,10887,61,10,2673
2175,4196,19,15,2314
2154,11504,86,7,2718
1230,5939,56,7,2175
1747,5370,41,18,2594
1652,8304,67,25,2321
2063,6753,23,13,2595
1810,8620,60,33,2230
2211,11136,33,55,2516
2100,9733,62,44,1709
1247,9247,22,50,2063
1652,8304,67,25,2321
1401,5797,50,31,2531
1217,5600,58,8,2953
1574,10017,65,32,2852
1040,7465,15,50,2143
1067,8244,78,30,2631
1996,9198,21,41,2138
2299,5008,42,19,2866
1151,11390,37,0,2136
1917,5491,29,6,2555
1492,3258,64,18,2771
1108,5561,62,5,2196
1893,6742,82,27,2584
1649,6131,72,46,1859
2284,3107,27,6,1703
2085,4006,19,38,2952
2193,3435,23,56,2266
2051,5854,85,27,1906
1713,7159,33,43,2269
1310,9960,53,58,2650
1349,9262,39,51,3013
1670,6307,54,51,2582
2336,8883,49,3,3016
1654,6644,38,54,2598
1252,4171,71,41,2192
1419,3229,26,23,2155
1776,5159,62,41,2676
1086,8843,87,45,2007
1092,8086,89,4,2442
1394,8850,20,3,2354
1702,9555,60,1,2765
2137,6685,89,25,2275
1196,8796,19,5,2705
1560,6154,56,40,2327
2063,6753,23,13,2595
1950,10147,87,33,2250
1195,10998,74,47,1631
1749,7494,77,55,2367
1882,3851,34,43,1886
1510,11904,30,34,2658
2337,5981,62,46,2608
1427,7969,86,8,1862
2318,3602,35,40,2883
1818,5525,81,36,1801
2247,5681,52,16,1651
1268,11010,23,18,2033
1609,11060,80,59,2011
2228,11612,80,15,1862
1349,9262,39,51,3013
1061,3110,66,58,1862
2043,7323,80,9,3030
1591,7079,53,6,2753
2225,3888,58,0,2426
1756,11155,88,29,2391
2395,7628,18,38,2582
1527,9561,80,52,2343
2074,8710,18,8,2043
1455,3639,39,31,2641
2477,10163,21,53,1684
1773,8929,48,52,3061
1777,11458,47,49,2953
2268,7271,63,30,2986
1298,8368,35,59,1704
1362,11554,18,59,2946
1791,5676,19,18,2672
1165,8592,44,50,1631
1070,5499,40,27,1729
1512,8488,25,48,3159
1107,3041,59,16,2771
2452,9091,82,26,2318
1194,5110,34,17,1723
2326,9157,39,49,1744
1603,5489,62,9,2832
1502,11385,59,35,1683
1728,3430,53,30,2146
1947,8765,15,41,1957
1553,11213,50,1,2278
1765,4802,40,47,2683
1299,11559,60,41,2345
1940,3039,84,54,2783
1634,3574,56,59,2034
1594,7661,43,5,3061
2464,7464,81,34,2593
1602,8530,81,51,2680
1769,11190,89,23,2668
1962,4082,27,11,2132
1338,7453,87,55,2650
1690,11897,76,15,2004
1411,11542,24,33,1925
2423,8211,48,51,2026
1956,4937,81,45,2805
2237,11748,39,55,2711
1939,5762,44,53,2233
1510,11904,30,34,2658
2485,4476,65,33,2540
2086,5968,23,4,2997
2060,3437,16,43,2428
1446,7057,70,5,2230
1674,5452,76,41,2427
2217,9830,58,22,2063
1535,8898,15,18,3044
1701,5626,22,15,2647
1945,9043,63,5,2025
1258,11459,89,36,2287
1434,3302,78,47,2350
1195,10998,74,47,1631
1329,11466,25,53,2451
1985,7929,74,29,2885
1608,4421,69,27,2048
1239,10890,35,20,2163
1250,7926,48,60,2896
2149,7143,47,17,1985
1221,11780,75,32,2160
1775,5119,28,46,2683
1618,4154,60,47,2561
2232,10549,67,29,3059
1164,9860,31,15,2838
1349,9262,39,51,3013
1072,4496,72,10,1741
2084,6463,75,25,1692
1213,6164,80,9,2711
1399,9135,33,1,2007
1328,7985,70,15,1921
1515,9605,18,48,2636
1090,4136,26,31,1664
2073,4598,50,27,2321
1450,8461,83,7,3104
1322,11967,45,51,2093
1879,4757,63,59,2134
1865,3681,40,1,3171
2205,9199,27,41,2277
1715,4242,71,31,1683
1479,10223,60,27,1963
1905,11487,23,51,2643
2289,10704,85,56,2347
1522,7435,19,1,1776
2070,4485,79,4,1938
1953,4161,81,45,2460
1104,8209,24,24,2129
1105,6617,79,24,2928
1018,8192,43,47,1982
1792,11165,68,43,2820
1237,11192,60,44,2378
1426,11898,57,14,1626
1331,9913,50,53,2926
2434,6211,88,56,2793
1188,9642,23,46,2448
1356,11520,29,10,2264
1391,9506,52,14,2494
2199,6810,49,43,3018
2106,3427,81,13,1846
1038,3770,73,46,2559
1054,10363,51,59,2761
1682,11949,64,47,2670
2368,3497,74,10,3126
1742,11290,33,37,1920
1153,6766,76,34,1738
2140,9939,50,56,1628
2199,6810,49,43,3018
1173,6303,59,33,1603
1282,3210,56,14,2805
2237,11748,39,55,2711
2291,3203,69,1,2554
1935,9624,42,51,2939
1278,4278,84,4,2652
1849,4539,26,34,2906
1384,5794,65,17,2759
1856,10029,60,0,2979
2058,8203,32,13,2811
1758,7985,22,28,2058
1903,10987,71,35,1648
1242,3317,87,31,1937
1648,3073,50,50,1679
1132,9789,33,41,1634
1316,3208,60,0,2125
1860,10198,49,27,1820
1396,10533,79,20,2503
1215,3512,85,25,2471
1914,11259,17,57,2735
2099,7032,66,33,2041
1047,6039,61,34,2109
1346,9521,62,16,3113
2488,3479,59,43,1675
2287,10101,58,47,3007
1507,7296,19,50,2623
1318,8756,67,29,1785
2280,10942,49,52,2273
2215,4062,59,49,2327
2329,6877,25,23,1673
2151,9956,33,9,1740
1489,11016,30,54,2254
1643,3864,54,54,1976
2067,11903,46,33,2548
1893,6742,82,27,2584
1832,7281,35,14,2725
1270,3990,58,33,1983
2331,5949,55,39,2906
1557,10718,20,60,3072
2074,8710,18,8,2043
2293,9547,30,36,2476
2211,11136,33,55,2516
1373,5700,62,14,2815
2250,8118,75,9,2763
1066,11378,84,18,2989
1905,11487,23,51,2643
1344,6327,70,15,3071
2145,8062,54,8,2121
1607,5789,48,9,2128
2072,10803,64,50,2560
1907,9770,61,19,2195
1980,9894,83,7,2629
1749,7494,77,55,2367
2287,10101,58,47,3007
2327,4748,81,14,2201
1043,3715,56,42,2138
2054,6825,42,23,1928
1113,3288,35,60,1835
1017,7788,49,48,1619
1387,10596,48,12,2715
2205,9199,27,41,2277
2012,11419,54,20,2568
1925,4068,81,49,2479
2063,6753,23,13,2595
1755,6808,24,28,1742
2140,9939,50,56,1628
1339,8775,42,12,2462
2251,7692,36,14,2994
1107,3041,59,16,2771
1735,10643,69,28,2359
1868,7908,40,18,2651
2441,11035,71,8,1706
2407,9457,36,13,2542
2189,7691,74,32,3071
1571,4581,49,53,3028
2152,9947,75,0,2551
2403,5987,26,16,1987
1600,11984,69,49,2432
1460,6412,28,17,2236
1821,11524,67,26,2872
1734,7272,33,7,2492
1983,8823,83,40,1733
1561,7970,90,49,2468
1345,9067,76,6,1977
2395,7628,18,38,2582
2375,11466,39,51,2043
1751,8488,36,16,2849
1581,4100,21,22,2981
1810,8620,60,33,2230
2169,7275,76,29,2885
2058,8203,32,13,2811
2306,4078,70,50,1796
2278,5550,47,31,2790
2073,4598,50,27,2321
1125,6631,31,54,3030
1720,10186,31,17,2325
2438,9628,84,13,3116
2094,5999,90,23,3084
2098,9280,84,13,2305
2311,5694,58,5,1783
1877,11714,37,17,2032
2001,3702,87,59,3126
1425,9460,37,7,2538
1416,11388,24,49,3197
1089,3855,24,55,1754
1934,3712,85,35,2058
2033,6078,67,47,2347
1936,4494,27,32,2227
1131,3705,16,40,2053
1328,7985,70,15,1921
1213,6164,80,9,2711
1722,6397,88,27,2466
2020,11896,35,39,1787
1320,10007,17,45,1995
1831,7875,25,3,2898
2044,4956,65,4,2627
1688,11250,58,36,2802
1223,7039,47,45,2557
1899,5385,23,30,2589
2411,9484,27,19,1703
1548,4759,42,4,3047
1501,7640,55,58,3011
1016,4047,59,56,2609
1155,3274,19,45,2815
1636,4655,80,35,2310
1112,8447,36,23,2655
2132,4365,48,41,1913
2494,6247,62,60,1727
1235,8716,70,13,2817
2398,4667,83,46,2143
2443,11198,37,50,2509
2100,9733,62,44,1709
1027,9732,82,49,1679
2281,4537,21,35,1981
1933,11656,62,52,1813
1429,9417,76,39,1714
2116,6022,37,17,3134
2200,4354,57,27,1853
2384,7547,35,1,2079
1066,11378,84,18,2989
1929,4184,46,32,1656
1683,6066,29,40,1969
1641,10628,81,39,2632
1459,6769,79,57,1764
1958,5629,88,16,3156
1417,8613,55,35,2492
1839,4720,65,16,1619
1812,5460,55,23,2696
2311,5694,58,5,1783
2399,8933,90,21,2954
1264,7875,26,11,1825
2431,9799,25,40,3147
2193,3435,23,56,2266
2040,11368,59,10,1942
1463,10750,40,60,2707
2434,6211,88,56,2793
1711,11220,59,49,2485
2314,4879,22,35,2638
1512,8488,25,48,3159
1390,10255,64,18,2983
1762,4439,49,40,1642
1291,10550,22,37,3188
1973,11940,73,19,2391
1385,11101,60,51,1742
1333,7307,84,4,2682
1168,7108,50,32,3119
1772,7100,57,10,2286
2088,9314,83,13,1633
1091,3644,60,42,2847
1500,8177,43,48,1904
2379,6289,37,10,3170
1094,3270,58,31,3017
2092,9200,27,24,2630
1080,9350,55,57,2356
1410,7388,37,51,2883
1430,10493,85,38,2947
1874,4679,77,13,2496
1123,10585,52,54,1674
2383,7749,47,44,2267
1756,11155,88,29,2391
1313,11497,86,23,2295
2409,7065,75,27,2885
1456,7833,38,37,2836
1269,3761,55,41,2344
1705,4583,86,56,2469
1710,9896,84,9,2669
1591,7079,53,6,2753
2478,5294,85,10,2045
2285,11618,58,59,2255
1252,4171,71,41,2192
2425,7303,66,60,2847
1401,5797,50,31,2531
1624,8216,79,23,2098
1508,5047,31,15,2629
1518,3987,33,36,2833
1120,5610,77,11,2513
1211,4546,30,35,2292
1518,3987,33,36,2833
2390,4703,34,12,1772
2055,5715,31,54,2273
1433,3594,24,4,2817
1423,10395,39,18,2449
2028,5662,16,12,2232
2318,3602,35,40,2883
1589,4945,86,41,1652
2261,5468,25,35,1860
2415,4030,32,18,2600
1596,5799,17,31,1636
1860,10198,49,27,1820
1121,4401,59,15,1669
1581,4100,21,22,2981
1320,10007,17,45,1995
1716,6530,62,51,2428
1775,5119,28,46,2683
2118,11344,71,57,2063
2221,4487,24,50,2885
2199,6810,49,43,3018
1597,4368,65,40,2951
1991,3156,18,31,3074
1169,11862,59,42,2325
1280,9778,62,25,2239
1906,7834,88,39,2654
1031,9111,50,29,2412
1976,6642,88,30,2696
1228,8756,71,3,2910
2262,7265,88,26,2258
1818,5525,81,36,1801
1282,3210,56,14,2805
1510,11904,30,34,2658
1823,4200,89,15,1856
1114,11343,70,1,2095
1386,6733,29,31,2925
1908,6504,43,24,2706
1891,9281,28,46,2689
2255,9556,83,27,2815
2149,7143,47,17,1985
2213,5168,71,23,2116
2447,7383,80,58,2229
1666,7457,16,18,2284
2402,8112,76,48,2285
1429,9417,76,39,1714
1430,10493,85,38,2947
2182,7449,66,36,2631
2351,4773,26,38,2670
1001,9135,87,41,3184
1442,9781,30,30,2805
1236,11867,66,37,2219
1997,8405,71,41,2103
1800,7777,72,14,1871
1611,7424,29,52,2808
1813,7643,32,59,2275
2207,4079,16,35,2487
1470,11472,76,0,2440
1224,10031,88,45,2360
1563,11117,89,52,2055
2346,5787,45,15,1738
1443,11030,58,15,2988
2159,3939,16,39,2278
1280,9778,62,25,2239
1201,9778,19,7,2213
1506,9095,66,1,2649
1150,3224,21,30,2546
1739,10728,50,26,2136
1200,4266,40,46,2119
1232,7913,79,35,1804
1284,4089,22,37,2818
1913,11991,33,41,3056
1829,8296,29,27,2585
1684,11649,89,50,2664
1375,7459,17,57,1812
1504,10429,90,20,2757
1541,3094,15,34,3101
2039,3386,74,59,2997
1614,5873,88,59,2111
1464,8023,71,43,1669
2067,11903,46,33,2548
2147,3740,70,3,2500
1261,6939,40,13,2438
1574,10017,65,32,2852
2455,3266,89,34,1759
2455,3266,89,34,1759
2475,10959,47,29,2665
1249,10386,47,0,2953
1270,3990,58,33,1983
2051,5854,85,27,1906
1811,5962,32,30,3064
1418,8647,61,26,1954
2373,6400,90,26,3125
1277,8727,84,16,1772
1178,5268,31,30,2475
1317,4496,33,32,2939
1070,5499,40,27,1729
1578,4128,59,22,1712
2000,5276,66,12,2934
1381,4812,56,0,1713
1863,7769,25,58,2835
1216,3847,40,5,1988
1631,3497,86,5,2953
1964,10274,27,8,1703
1793,6572,25,21,2754
1549,10606,87,2,1679
2471,11209,81,39,1858
2197,7299,46,56,1725
1428,9274,66,48,2519
1210,4149,25,11,2951
1993,5736,57,57,2317
1545,10397,65,21,2073
1166,8888,25,52,2583
1206,11274,18,11,2311
1411,11542,24,33,1925
2470,3227,70,15,2961
1189,9887,45,13,2170
1499,8875,79,58,3009
2291,3203,69,1,2554
1105,6617,79,24,2928
1431,5464,65,38,2775
2427,4042,34,46,2888
1420,5932,35,8,2564
1156,9325,83,10,2729
2004,11621,34,57,2506
2085,4006,19,38,2952
2021,10265,75,36,1730
1468,11291,17,5,1693
1502,11385,59,35,1683
1911,9591,27,14,1785
1447,9083,74,27,2100
2396,8288,62,7,1717
2386,6679,77,45,2336
2163,9927,61,40,2398
1861,3133,27,42,2096
2242,9749,53,51,2976
1677,7441,56,3,1723
1433,3594,24,4,2817
2229,9926,45,55,2244
1863,7769,25,58,2835
1441,7791,27,48,1605
2223,9623,29,59,2233
1916,5766,38,43,3166
2103,9768,21,38,2129
1077,6600,61,26,2804
2410,7532,58,48,2729
1633,11274,71,41,2897
1778,6136,39,10,3170
2189,7691,74,32,3071
1049,7265,89,11,1704
1112,8447,36,23,2655
1768,9623,74,39,2079
1144,3711,71,56,1611
2493,11449,78,43,2841
1155,3274,19,45,2815
2448,4982,73,56,2569
1560,6154,56,40,2327
2459,8926,44,43,1808
1341,5124,62,45,1971
1305,9558,60,58,1812
2134,5329,80,21,1913
2392,8256,81,26,3026
1354,11030,83,39,1885
2441,11035,71,8,1706
2273,4427,52,51,1658
1040,7465,15,50,2143
1812,5460,55,23,2696
1809,6060,85,20,2656
1760,4370,76,26,2369
2454,11204,62,33,2468
1818,5525,81,36,1801
1121,4401,59,15,1669
1794,11033,18,49,2145
2489,8784,56,13,2046
2177,9646,31,47,3179
2173,4416,30,37,1647
1088,8754,59,34,2133
1016,4047,59,56,2609
1726,9224,44,13,2404
2415,4030,32,18,2600
1886,4643,57,29,2193
2416,10614,50,32,3102
1524,4710,56,31,2024
1933,11656,62,52,1813
1730,11680,35,21,3159
1071,3878,71,7,2073
1598,3060,83,36,2713
1091,3644,60,42,2847
2057,4762,88,25,2995
2105,4162,23,50,3180
2161,5354,56,58,2518
1570,3003,79,1,2923
1890,4677,72,27,1958
1116,5197,34,52,1878
1697,5432,33,20,2671
2308,6928,57,44,1913
1503,6436,81,6,1906
1824,8259,82,4,2759
1065,6001,75,8,1983
2487,10303,71,40,1943
1957,3375,58,15,2199
1994,5573,17,21,2233
1329,11466,25,53,2451
2320,11893,38,13,2683
2451,6891,54,39,1709
2387,5337,27,10,2689
1788,5675,37,13,2209
1482,10176,89,56,2915
1039,9615,28,10,3171
2226,7565,45,22,2376
1418,8647,61,26,1954
2061,9674,30,30,2040
2173,4416,30,37,1647
2496,3797,90,29,2530
2413,7217,27,41,2439
2320,11893,38,13,2683
1273,3285,30,17,3183
2485,4476,65,33,2540
1605,11203,74,46,2725
1558,7381,47,13,1995
1982,10451,68,60,2174
2038,3226,43,10,2304
2018,11986,45,15,1671
2344,3685,43,50,2278
1930,9891,30,58,2481
1243,7973,36,46,2637
1221,11780,75,32,2160
1048,7876,40,25,1763
1550,10128,22,59,3028
1111,11259,38,5,2828
1445,8059,84,48,2918
1803,10494,17,57,1912
1921,3743,41,48,1714
1551,9221,89,57,1642
2200,4354,57,27,1853
1378,4152,58,57,2883
2473,8409,50,42,1940
1774,9685,41,42,2822
1620,8220,88,7,1738
2025,6801,23,24,2420
2335,3393,80,55,2567
1487,3028,24,10,2549
2469,10159,78,17,2428
1797,9311,34,12,1626
1427,7969,86,8,1862
1367,5439,62,36,1713
1470,11472,76,0,2440
1337,9286,61,58,2230
1562,5416,32,52,2050
2252,8653,26,20,2040
1142,6722,82,60,2767
1383,6898,26,41,3064
2133,10677,27,3,1801
1888,11737,67,15,2977
1509,3317,52,30,2810
1234,3572,25,6,3169
2126,11467,28,17,2591
2015,9886,32,45,2821
1324,7364,41,21,1948
1669,5786,72,5,1735
1758,7985,22,28,2058
2420,3784,41,4,3182
1021,10043,67,21,1820
1621,5459,59,16,2078
2230,6013,60,21,2847
1828,11683,64,34,2493
1562,5416,32,52,2050
2167,10681,80,36,1918
2492,9077,65,2,1752
1213,6164,80,9,2711
2434,6211,88,56,2793
1129,5190,40,27,2899
1199,8090,45,55,1846
1117,8595,65,23,2780
2357,7502,18,48,2355
1973,11940,73,19,2391
2015,9886,32,45,2821
1193,8874,45,27,3002
1290,10278,81,12,2369
1884,6599,48,21,2057
1886,4643,57,29,2193
1836,10364,18,24,3068
1136,8248,28,35,1830
2067,11903,46,33,2548
1827,10237,64,39,1877
1571,4581,49,53,3028
1487,3028,24,10,2549
2380,9384,35,42,1627
1141,10837,29,43,2803
1122,5308,41,26,3057
1543,11077,69,30,1645
1443,11030,58,15,2988
1611,7424,29,52,2808
1053,8722,68,37,2268
1010,5335,70,55,3092
1752,4238,35,1,2138
1288,8649,56,0,2493
1058,11158,34,12,1690
1937,9059,75,34,2101
2213,5168,71,23,2116
1926,3366,67,3,2452
1015,8022,76,46,2876
2276,4513,79,55,2696
2459,8926,44,43,1808
1014,5841,74,60,2650
1092,8086,89,4,2442
1309,11531,18,34,3168
1925,4068,81,49,2479
2028,5662,16,12,2232
1413,7618,33,25,2924
1124,4331,45,59,1741
2468,5867,23,50,2196
2086,5968,23,4,2997
2451,6891,54,39,1709
1131,3705,16,40,2053
1546,11660,38,14,2594
1825,11894,47,0,1608
2222,6736,25,5,2246
1745,9847,69,46,3040
2137,6685,89,25,2275
2252,8653,26,20,2040
1276,8289,73,53,1880
1958,5629,88,16,3156
2274,6787,33,35,3089
1725,4367,44,1,2252
2083,7419,48,3,3010
2424,4316,74,10,2579
2071,11214,76,43,2276
1904,5153,19,58,2780
1974,8173,39,36,2982
1167,4971,52,1,2725
1569,6141,89,50,2188
1943,6475,60,27,2019
2415,4030,32,18,2600
1371,8586,61,16,1728
1867,3097,45,44,1643
1824,8259,82,4,2759
1472,3737,18,43,2432
2216,10477,83,22,2113
1365,10874,45,8,2746
2358,8197,61,14,3092
1857,7441,23,11,2439
1580,10432,49,45,2406
1771,3034,55,41,1621
1379,8288,41,44,2380
1226,10912,87,32,2137
2233,9309,31,19,2104
1232,7913,79,35,1804
2022,9756,55,51,1625
1549,10606,87,2,1679
1289,9364,34,43,1863
2418,9407,27,47,2682
1375,7459,17,57,1812
2480,3462,67,59,2919
2473,8409,50,42,1940
1395,8281,59,56,2813
2459,8926,44,43,1808
1436,3986,82,41,2746
1804,3530,39,52,3159
1575,6520,73,27,2973
1646,5514,59,30,2434
1920,11599,39,49,3063
2045,5164,44,42,3032
1636,4655,80,35,2310
1110,7754,69,5,2694
1386,6733,29,31,2925
1382,8258,45,25,1886
2451,6891,54,39,1709
1669,5786,72,5,1735
2030,10155,63,53,1871
2194,8820,42,52,2996
1104,8209,24,24,2129
2194,8820,42,52,2996
1293,4116,38,12,2151
1341,5124,62,45,1971
2048,8853,46,21,1606
1342,11696,20,40,2027
1695,7871,51,58,2504
2349,3978,79,2,1878
2219,3444,16,24,1881
1835,7576,89,24,2848
1358,6866,85,16,2476
2352,10586,28,14,2153
2208,3935,35,43,2035
1648,3073,50,50,1679
1278,4278,84,4,2652
1003,11835,73,25,1653
1463,10750,40,60,2707
2393,3474,46,49,2133
2466,6247,58,23,3030
2264,4010,90,22,2064
1740,4656,79,53,1810
2340,5366,54,23,3121
2027,9653,38,25,1968
1986,9176,32,54,2903
2286,3499,77,4,2435
2064,8274,72,58,2540
2031,6205,43,30,2183
1855,9481,70,6,2199
1126,10260,17,50,2147
1678,7555,87,45,2997
1332,6886,45,53,1647
1379,8288,41,44,2380
1703,6909,48,2,2204
1801,8830,40,55,2177
2030,10155,63,53,1871
1808,10321,59,38,2437
2417,6470,72,26,3002
1682,11949,64,47,2670
1092,8086,89,4,2442
1197,6787,62,51,2362
1215,3512,85,25,2471
1141,10837,29,43,2803
1954,6601,64,14,1779
2500,3994,23,20,2019
1531,3569,75,45,2182
1236,11867,66,37,2219
2490,4091,17,53,1725
1079,5676,77,37,2473
1716,6530,62,51,2428
2284,3107,27,6,1703
2244,9988,68,29,2887
1414,6805,72,48,2343
1421,4642,88,38,2151
1016,4047,59,56,2609
2179,11347,45,37,1728
2104,8813,86,35,1955
