UserID,ExerciseType,ExerciseDurationMinutes
2043,Swimming,70.0
1591,Weightlifting,17.0
2225,Yoga,70.0
1756,Pilates,68.0
2395,Yoga,100.0
2074,Yoga,20.0
1455,Walking,80.0
1777,Walking,72.0
2268,Yoga,78.0
1298,Stretching,33.0
1362,HIIT,92.0
1791,Weightlifting,27.0
1165,Stretching,57.0
1070,Pilates,63.0
1512,HIIT,96.0
1107,Yoga,53.0
2452,HIIT,92.0
1194,Weightlifting,44.0
2326,HIIT,77.0
1603,Pilates,27.0
1728,Pilates,48.0
1947,Swimming,28.0
1553,Swimming,82.0
1765,Walking,94.0
1299,Yoga,114.0
1940,Weightlifting,120.0
1594,Weightlifting,102.0
2464,Pilates,11.0
1602,Weightlifting,67.0
1769,Cycling,10.0
1962,Weightlifting,83.0
1338,Running,77.0
1690,Pilates,74.0
1411,Yoga,84.0
2423,Stretching,99.0
1956,Pilates,111.0
2237,Swimming,37.0
1939,Stretching,29.0
1510,HIIT,111.0
2485,HIIT,107.0
2060,Weightlifting,70.0
1446,Yoga,100.0
1674,Swimming,71.0
2217,Swimming,89.0
1535,HIIT,33.0
1701,Cycling,11.0
1945,HIIT,113.0
1258,Running,19.0
1434,Swimming,85.0
1329,Swimming,99.0
1608,Stretching,67.0
1239,Swimming,64.0
1250,Cycling,52.0
2149,Stretching,70.0
1221,Walking,35.0
1775,Cycling,30.0
1618,Walking,73.0
2232,HIIT,79.0
1349,Pilates,75.0
1072,Swimming,92.0
2084,Swimming,72.0
1399,Pilates,53.0
1328,Swimming,103.0
1515,Weightlifting,23.0
1090,Pilates,58.0
2073,Yoga,104.0
1450,Walking,100.0
1322,Walking,109.0
1879,Pilates,91.0
1865,Cycling,95.0
2205,Pilates,35.0
1715,Weightlifting,26.0
1479,Pilates,20.0
1905,Walking,31.0
2289,Running,104.0
1522,Running,14.0
2070,Cycling,51.0
1953,Pilates,35.0
1104,Pilates,46.0
1105,Walking,105.0
1018,Stretching,99.0
1792,HIIT,20.0
1237,HIIT,29.0
1426,HIIT,119.0
1331,Cycling,18.0
1188,Yoga,109.0
1356,Running,100.0
1391,Swimming,105.0
2106,Yoga,113.0
1038,Pilates,12.0
1054,Weightlifting,116.0
1682,Swimming,57.0
2368,Yoga,51.0
1742,HIIT,48.0
1153,Swimming,17.0
2140,Cycling,44.0
2199,Running,76.0
1173,Weightlifting,61.0
1282,Running,21.0
2237,Stretching,66.0
2291,Walking,23.0
1935,Weightlifting,112.0
1278,Stretching,71.0
1849,Walking,11.0
1384,Swimming,97.0
1856,Walking,22.0
2058,Weightlifting,92.0
1758,Yoga,119.0
1903,Stretching,100.0
1242,Stretching,38.0
1648,Yoga,42.0
1132,Walking,108.0
1316,Swimming,103.0
1860,Yoga,34.0
1396,Weightlifting,96.0
1215,HIIT,111.0
1914,Walking,81.0
2099,Stretching,36.0
1047,Pilates,16.0
1346,Swimming,85.0
2488,Running,59.0
2287,HIIT,59.0
1507,Weightlifting,71.0
1318,Weightlifting,51.0
2280,Swimming,20.0
2215,Running,79.0
2329,Running,41.0
2151,Weightlifting,85.0
1489,Weightlifting,92.0
1643,Swimming,50.0
2067,Running,86.0
1893,Pilates,86.0
1832,Weightlifting,59.0
1270,Swimming,26.0
2331,HIIT,57.0
1557,Running,112.0
2074,Pilates,80.0
2293,Pilates,66.0
2211,Walking,51.0
1373,Walking,55.0
2250,Swimming,57.0
1066,Yoga,64.0
1905,Yoga,98.0
1344,Pilates,90.0
2145,Stretching,114.0
1607,Swimming,117.0
2072,Yoga,49.0
1907,Stretching,21.0
1980,Swimming,94.0
1749,Stretching,96.0
2287,Running,71.0
2327,Swimming,33.0
1043,Swimming,38.0
2054,Pilates,88.0
1113,HIIT,73.0
1017,Pilates,112.0
1387,Weightlifting,36.0
2205,Running,105.0
2012,Swimming,69.0
1925,Yoga,88.0
2063,Yoga,102.0
1755,Yoga,120.0
2140,Weightlifting,21.0
1339,Weightlifting,37.0
2251,HIIT,21.0
1107,HIIT,53.0
1735,Cycling,42.0
1868,Swimming,115.0
2441,Walking,59.0
2407,Pilates,73.0
1571,Pilates,42.0
2152,Cycling,81.0
2403,Cycling,72.0
1600,Swimming,103.0
1460,Walking,111.0
1821,Yoga,104.0
1983,Running,118.0
1561,Yoga,20.0
1345,Stretching,80.0
2395,Weightlifting,36.0
2375,HIIT,102.0
1751,HIIT,80.0
1581,Stretching,47.0
1810,HIIT,15.0
2169,Yoga,115.0
2058,Pilates,90.0
2306,HIIT,69.0
2278,Running,94.0
2073,Running,24.0
1125,HIIT,104.0
1720,Pilates,15.0
2438,Stretching,50.0
2098,Running,114.0
2311,Stretching,118.0
2001,Running,77.0
1425,Cycling,101.0
1416,HIIT,109.0
1089,Pilates,57.0
1934,Running,85.0
2033,Yoga,110.0
1936,Swimming,52.0
1131,Running,98.0
1328,Stretching,64.0
1213,Walking,22.0
1722,Running,13.0
2020,Swimming,94.0
1320,Walking,85.0
1831,Walking,18.0
2044,HIIT,120.0
1688,Yoga,12.0
1223,Pilates,104.0
1899,Stretching,89.0
1548,Pilates,24.0
1501,HIIT,18.0
1016,Running,95.0
1155,Yoga,106.0
1636,Pilates,93.0
1112,HIIT,115.0
2132,HIIT,59.0
2494,Swimming,39.0
1235,Running,96.0
2398,Pilates,55.0
2443,Weightlifting,78.0
2100,Stretching,15.0
1027,Cycling,109.0
2281,Cycling,114.0
1933,Weightlifting,80.0
2116,Cycling,13.0
2200,Cycling,83.0
2384,Walking,27.0
1066,Cycling,22.0
1929,Pilates,23.0
1641,Yoga,105.0
1459,Pilates,118.0
1958,Stretching,19.0
1417,Stretching,99.0
1839,Yoga,66.0
1812,Running,21.0
2311,Pilates,53.0
2399,Cycling,11.0
1264,Swimming,27.0
2431,Swimming,90.0
2193,Stretching,37.0
2040,Stretching,15.0
1463,Stretching,99.0
2434,HIIT,107.0
1711,Walking,101.0
2314,Swimming,45.0
1512,Swimming,47.0
1762,Weightlifting,73.0
1291,Weightlifting,57.0
1973,Weightlifting,101.0
1385,Stretching,108.0
1333,Yoga,90.0
1772,Cycling,77.0
2088,Weightlifting,62.0
1091,Pilates,94.0
1500,Pilates,68.0
2379,Yoga,37.0
1094,Running,17.0
2092,Walking,107.0
1080,Running,15.0
1410,Swimming,16.0
1430,Pilates,78.0
1874,Pilates,19.0
1123,Pilates,94.0
2383,HIIT,12.0
1756,Swimming,114.0
1313,Stretching,68.0
2409,HIIT,33.0
1456,Running,49.0
1269,Swimming,22.0
1705,Yoga,53.0
1710,Weightlifting,67.0
1591,Cycling,117.0
2478,Stretching,38.0
1252,Swimming,27.0
2425,Running,35.0
1401,Yoga,59.0
1624,HIIT,13.0
1508,Swimming,21.0
1518,Swimming,114.0
1120,Walking,12.0
1211,Walking,52.0
1518,Walking,27.0
2390,Pilates,46.0
1433,Swimming,14.0
1423,Swimming,65.0
2028,Pilates,95.0
2318,Running,98.0
2261,Running,45.0
1596,HIIT,74.0
1860,Cycling,90.0
1121,Running,25.0
1581,Yoga,71.0
1775,Running,64.0
2118,Swimming,55.0
2221,HIIT,37.0
2199,Walking,59.0
1597,Pilates,48.0
1991,Running,47.0
1169,Yoga,22.0
1280,Cycling,30.0
1906,Weightlifting,12.0
1031,Swimming,82.0
1976,Running,82.0
1228,HIIT,14.0
2262,Running,111.0
1282,Weightlifting,27.0
1510,Cycling,70.0
1114,Swimming,28.0
1908,Running,63.0
1891,Pilates,91.0
2255,Pilates,23.0
2149,Pilates,93.0
2213,Walking,109.0
2447,Running,83.0
1666,Cycling,70.0
2402,HIIT,97.0
1429,Cycling,63.0
1430,Cycling,63.0
2182,Walking,74.0
2351,Stretching,39.0
1001,Running,32.0
1442,Cycling,119.0
1236,Yoga,39.0
1997,Walking,12.0
1800,Cycling,61.0
1611,Weightlifting,28.0
1813,Pilates,57.0
2207,Pilates,35.0
1470,Pilates,114.0
1224,Walking,110.0
1563,Running,82.0
2346,Walking,96.0
2159,Yoga,69.0
1280,Swimming,79.0
1201,Swimming,54.0
1506,Swimming,75.0
1739,Swimming,82.0
1200,Walking,36.0
1232,Cycling,106.0
1284,Walking,19.0
1913,Cycling,72.0
1829,Pilates,67.0
1684,Cycling,73.0
1375,HIIT,70.0
1504,Swimming,64.0
1541,HIIT,49.0
2039,Weightlifting,59.0
1614,Walking,80.0
1464,Running,53.0
2067,Walking,17.0
2147,Yoga,70.0
1261,Yoga,28.0
1574,Walking,99.0
2455,Weightlifting,108.0
2455,Weightlifting,111.0
2475,Pilates,42.0
1249,Running,84.0
1270,Stretching,103.0
1811,Swimming,12.0
1418,Walking,26.0
2373,HIIT,88.0
1277,Walking,24.0
1178,Cycling,97.0
1317,Cycling,15.0
1070,HIIT,52.0
1578,Stretching,57.0
2000,Walking,52.0
1381,Swimming,106.0
1863,Cycling,59.0
1216,HIIT,110.0
1631,Walking,52.0
1964,Swimming,80.0
1793,Cycling,86.0
1549,Pilates,114.0
2471,Running,30.0
2197,Pilates,13.0
1428,Pilates,113.0
1210,Cycling,88.0
1993,Weightlifting,91.0
1545,Walking,60.0
1166,Weightlifting,79.0
1206,Pilates,66.0
1411,Stretching,40.0
2470,Cycling,49.0
1189,Walking,13.0
1499,Running,84.0
2291,Walking,118.0
1105,HIIT,42.0
1431,Swimming,58.0
2427,Running,46.0
1420,Running,36.0
1156,Swimming,75.0
2004,Cycling,43.0
2085,Yoga,95.0
1468,Running,74.0
1502,Pilates,13.0
1911,Cycling,70.0
1447,Walking,60.0
2396,Walking,96.0
2386,Weightlifting,51.0
2163,Stretching,24.0
1861,Yoga,105.0
2242,Swimming,90.0
1677,Stretching,97.0
1433,Yoga,97.0
1863,Running,81.0
1441,HIIT,36.0
2223,HIIT,15.0
1916,Stretching,48.0
2103,Yoga,12.0
1077,Swimming,72.0
2410,Pilates,66.0
1633,Weightlifting,22.0
2189,HIIT,57.0
1049,Yoga,70.0
1112,Walking,112.0
1768,Weightlifting,88.0
1144,Yoga,96.0
2493,Swimming,87.0
1155,Running,88.0
2448,Running,72.0
1560,Stretching,72.0
2459,Walking,107.0
1341,Weightlifting,44.0
1305,Yoga,28.0
2134,Weightlifting,26.0
2392,Walking,50.0
1354,Running,39.0
2441,Stretching,114.0
2273,Running,98.0
1040,Stretching,30.0
1812,Yoga,55.0
1760,Running,13.0
2454,Cycling,99.0
1818,Pilates,25.0
1121,Stretching,43.0
1794,Running,76.0
2489,Swimming,71.0
2177,HIIT,72.0
2173,Cycling,74.0
1088,Yoga,100.0
1016,Stretching,15.0
1726,Cycling,104.0
2415,Cycling,83.0
2416,Walking,20.0
1524,Weightlifting,40.0
1933,Running,13.0
1730,Pilates,61.0
1071,HIIT,119.0
1598,HIIT,73.0
1091,HIIT,112.0
2057,Stretching,68.0
2105,Pilates,58.0
2161,Running,110.0
1890,Yoga,56.0
1697,Yoga,40.0
2308,Running,44.0
1503,Stretching,109.0
1824,Weightlifting,58.0
2487,Weightlifting,116.0
1957,Stretching,30.0
1994,Swimming,98.0
1329,Pilates,15.0
2320,Weightlifting,95.0
2451,Yoga,31.0
2387,HIIT,18.0
1482,Stretching,81.0
1039,Pilates,68.0
2226,Walking,59.0
1418,Swimming,95.0
2173,Yoga,46.0
2496,HIIT,88.0
2413,Stretching,49.0
2320,Cycling,119.0
1273,Swimming,75.0
2485,Yoga,118.0
1605,Stretching,56.0
1558,Yoga,62.0
1982,Weightlifting,53.0
2038,Walking,68.0
2344,HIIT,44.0
1930,Pilates,31.0
1243,Weightlifting,100.0
1221,Running,97.0
1048,Weightlifting,55.0
1550,HIIT,78.0
1111,Walking,102.0
1445,Yoga,27.0
1803,HIIT,80.0
1921,Yoga,82.0
1551,Running,34.0
2200,Yoga,33.0
1378,Pilates,46.0
1774,Running,114.0
2025,Pilates,66.0
2335,Yoga,102.0
1487,Cycling,20.0
2469,Cycling,99.0
1797,Yoga,52.0
1367,Swimming,55.0
1470,Weightlifting,20.0
1337,Weightlifting,92.0
1562,HIIT,65.0
2252,Walking,86.0
1142,Yoga,70.0
1383,Cycling,100.0
2133,Pilates,89.0
1888,Stretching,108.0
1509,Yoga,105.0
2126,Walking,31.0
2015,Cycling,28.0
1324,Walking,75.0
1669,Yoga,85.0
1758,Swimming,109.0
2420,Yoga,40.0
1021,Cycling,30.0
1621,Stretching,46.0
2230,Pilates,11.0
1828,Pilates,76.0
1562,HIIT,63.0
2167,Yoga,111.0
2492,Weightlifting,27.0
1213,Pilates,54.0
2434,Walking,111.0
1129,Pilates,103.0
1199,Weightlifting,95.0
1117,Running,57.0
1973,Cycling,17.0
2015,Yoga,80.0
1193,Yoga,107.0
1290,Swimming,43.0
1884,HIIT,83.0
1886,Yoga,51.0
1836,Pilates,76.0
1136,Swimming,73.0
2067,Stretching,49.0
1827,Cycling,10.0
1571,Weightlifting,85.0
1487,Yoga,64.0
2380,HIIT,21.0
1141,Weightlifting,27.0
1122,Stretching,73.0
1443,Pilates,80.0
1611,Swimming,59.0
1053,Stretching,14.0
1752,Walking,110.0
1288,Stretching,71.0
1058,Swimming,72.0
1937,Walking,78.0
2213,Running,74.0
1926,Running,36.0
1015,Stretching,52.0
2276,Swimming,85.0
2459,Running,25.0
1014,Yoga,56.0
1092,Running,118.0
1309,Yoga,73.0
1925,Swimming,107.0
2028,Stretching,120.0
1413,Running,41.0
1124,Walking,42.0
2468,Weightlifting,49.0
2086,Pilates,105.0
2451,Cycling,60.0
1131,HIIT,23.0
1546,Weightlifting,19.0
1825,Walking,118.0
2222,Swimming,99.0
1745,Cycling,95.0
2137,Running,95.0
2252,Running,83.0
1276,Stretching,32.0
1958,Swimming,36.0
2274,Cycling,51.0
1725,Swimming,119.0
2083,Stretching,30.0
2424,Yoga,43.0
2071,HIIT,52.0
1904,Weightlifting,38.0
1974,HIIT,21.0
1167,Weightlifting,40.0
1569,Walking,24.0
1943,Yoga,85.0
2415,Swimming,115.0
1371,Running,84.0
1867,Yoga,92.0
1472,Running,81.0
2216,Stretching,111.0
1365,Running,108.0
2358,Cycling,24.0
1857,Swimming,108.0
1580,Swimming,38.0
1771,HIIT,107.0
1379,Stretching,12.0
1226,Yoga,12.0
2233,Walking,16.0
2022,Running,30.0
1549,Running,117.0
2418,Walking,49.0
1375,Stretching,111.0
2480,Swimming,21.0
2473,Walking,67.0
1395,Yoga,57.0
2459,Walking,61.0
1436,Running,34.0
1804,Stretching,118.0
1575,Yoga,35.0
1646,Cycling,32.0
1920,Pilates,107.0
2045,Weightlifting,11.0
1636,Cycling,22.0
1110,Cycling,38.0
1386,Running,89.0
1382,Swimming,30.0
2451,Pilates,50.0
1669,Pilates,65.0
2030,Cycling,48.0
2194,Cycling,101.0
1104,Pilates,107.0
2194,Weightlifting,66.0
1293,Weightlifting,13.0
1341,Cycling,106.0
2048,Swimming,61.0
1342,Yoga,35.0
1695,Stretching,50.0
2349,Pilates,80.0
2219,Yoga,119.0
1835,Walking,57.0
1358,Weightlifting,66.0
2352,Pilates,30.0
2208,Stretching,15.0
1648,HIIT,85.0
1278,Stretching,105.0
1463,Weightlifting,22.0
2393,Walking,61.0
2264,Weightlifting,23.0
1740,Cycling,38.0
2027,Yoga,67.0
1986,Swimming,19.0
2286,Walking,28.0
2064,Stretching,85.0
2031,Yoga,63.0
1855,HIIT,103.0
1126,HIIT,49.0
1678,Yoga,35.0
1332,HIIT,53.0
1379,HIIT,68.0
1703,Weightlifting,38.0
1801,Swimming,94.0
2030,Cycling,87.0
1808,Weightlifting,109.0
2417,Weightlifting,29.0
1682,Swimming,66.0
1197,Pilates,80.0
1215,Weightlifting,18.0
1141,HIIT,44.0
1954,Stretching,95.0
2500,Walking,42.0
1531,Walking,58.0
1236,HIIT,91.0
2490,Stretching,69.0
1079,Running,109.0
1716,Pilates,82.0
2284,Pilates,46.0
2244,Running,25.0
1414,Walking,22.0
1421,Stretching,99.0
1016,Swimming,35.0
2179,HIIT,118.0
2104,Running,84.0
2114,Swimming,117.0
2047,Stretching,91.0
2159,HIIT,57.0
2332,Weightlifting,98.0
2155,Pilates,16.0
1837,Weightlifting,114.0
1090,Walking,22.0
2008,Running,67.0
1562,Weightlifting,103.0
1457,Pilates,114.0
2329,HIIT,61.0
2484,Running,84.0
1770,Stretching,64.0
2328,Yoga,25.0
1840,HIIT,35.0
1468,Swimming,13.0
1627,Running,119.0
1888,HIIT,45.0
1402,Swimming,51.0
1804,Pilates,120.0
2114,Swimming,95.0
1981,Pilates,100.0
2114,Pilates,32.0
2168,HIIT,17.0
1764,Swimming,91.0
1604,Yoga,24.0
2334,Swimming,98.0
1037,Swimming,112.0
1677,Walking,41.0
2457,Yoga,70.0
1207,Yoga,26.0
2359,Pilates,52.0
1847,Weightlifting,120.0
2112,Yoga,112.0
1134,Stretching,25.0
1196,Yoga,32.0
1347,Swimming,69.0
1632,Swimming,98.0
1424,Stretching,51.0
1374,Yoga,35.0
2007,Cycling,91.0
2488,Cycling,111.0
2485,Weightlifting,112.0
2151,Pilates,44.0
1712,Pilates,89.0
2224,Walking,117.0
1526,Cycling,96.0
1712,Yoga,99.0
2140,HIIT,54.0
1700,Stretching,96.0
2002,Weightlifting,52.0
1736,Yoga,93.0
2187,Swimming,97.0
1419,Stretching,33.0
1261,HIIT,88.0
1400,Cycling,12.0
2042,Pilates,77.0
1435,Stretching,97.0
1585,Walking,51.0
2139,Cycling,106.0
2402,Pilates,34.0
1836,Yoga,46.0
1220,Pilates,62.0
1677,Weightlifting,85.0
2432,Cycling,42.0
1125,HIIT,87.0
1755,Running,82.0
1055,Yoga,100.0
1670,Swimming,116.0
1903,Weightlifting,93.0
1889,Running,106.0
2262,Running,42.0
2015,Cycling,64.0
1173,Cycling,21.0
2326,Yoga,101.0
1159,HIIT,40.0
1865,Cycling,105.0
2144,Weightlifting,35.0
2186,Cycling,45.0
1230,Pilates,94.0
1704,Yoga,15.0
1474,Cycling,36.0
2312,Walking,43.0
1428,Walking,27.0
1490,Stretching,104.0
2338,Pilates,58.0
2227,Weightlifting,86.0
2492,Running,99.0
1928,Cycling,100.0
1175,Weightlifting,39.0
2264,Walking,11.0
2211,Stretching,13.0
1520,Running,104.0
2469,Cycling,96.0
1913,Running,36.0
1830,Weightlifting,35.0
1836,Cycling,106.0
2080,Pilates,36.0
1827,Weightlifting,79.0
1263,Cycling,89.0
2160,Pilates,16.0
2066,Swimming,49.0
1523,Running,120.0
1944,Weightlifting,45.0
2202,Pilates,105.0
1146,Weightlifting,22.0
2213,Stretching,76.0
1844,Weightlifting,76.0
1726,Walking,92.0
2272,Swimming,95.0
1748,Walking,120.0
1273,Running,20.0
1075,Walking,31.0
1457,Cycling,60.0
1910,Walking,93.0
1081,Weightlifting,87.0
2360,HIIT,69.0
1302,Cycling,34.0
1020,Swimming,101.0
1191,HIIT,17.0
2099,Stretching,115.0
1136,Swimming,113.0
1433,Running,34.0
1667,Weightlifting,79.0
2078,Running,42.0
1352,Walking,66.0
1583,Yoga,103.0
2174,HIIT,84.0
1708,Walking,108.0
2466,Swimming,38.0
2213,Running,97.0
2170,HIIT,112.0
1660,Running,42.0
1096,HIIT,84.0
1431,Swimming,58.0
2148,Walking,82.0
1467,Cycling,83.0
2082,Running,58.0
2352,Walking,71.0
1761,Cycling,27.0
2075,Pilates,63.0
1292,Walking,39.0
1257,Pilates,49.0
1509,Stretching,41.0
1326,HIIT,36.0
1322,Walking,12.0
2237,Walking,104.0
1222,Walking,50.0
1667,Walking,83.0
1221,Swimming,79.0
1879,Running,95.0
1385,Swimming,26.0
1315,Stretching,29.0
1290,Pilates,89.0
1238,Weightlifting,87.0
2332,Walking,108.0
1931,Walking,110.0
2453,Yoga,73.0
1455,Walking,13.0
2366,Stretching,26.0
1667,Yoga,23.0
1942,HIIT,118.0
1314,Pilates,101.0
2204,Pilates,51.0
1389,Cycling,37.0
1227,Walking,69.0
1798,Weightlifting,101.0
1970,Stretching,92.0
2003,HIIT,46.0
2250,Pilates,43.0
1982,Pilates,37.0
2126,Pilates,93.0
1992,Walking,86.0
1981,Weightlifting,69.0
1288,HIIT,95.0
1025,Yoga,25.0
1664,Yoga,54.0
2026,Yoga,22.0
1414,Walking,108.0
2336,Stretching,26.0
2200,Pilates,70.0
2020,HIIT,21.0
2090,Weightlifting,10.0
1234,Weightlifting,29.0
1732,HIIT,111.0
1201,Stretching,35.0
1254,Cycling,22.0
2071,Running,65.0
1456,Stretching,51.0
1675,Weightlifting,12.0
1929,Yoga,38.0
1300,HIIT,119.0
1567,Weightlifting,39.0
