UserID,PostureScore,AlertTriggered,AlertTriggeredDate
2404,83.0,No,
1115,,No,
2296,81.0,No,
1487,,Yes,2025-09-28
1229,63.0,No,
2196,96.0,Yes,2025-09-08
1968,78.0,No,
1165,79.0,No,
1099,85.0,No,
1979,75.0,Yes,2025-05-25
1714,82.0,No,
1761,64.0,No,
1789,92.0,No,
1862,90.0,No,
2302,50.0,No,
1415,56.0,No,
2367,85.0,Yes,2025-05-19
1536,78.0,No,
1661,55.0,No,
2175,77.0,No,
2154,50.0,No,
1230,80.0,Yes,
1747,93.0,No,
1652,83.0,Yes,2025-05-05
2063,77.0,Yes,2025-12-10
1810,63.0,No,
2211,73.0,No,
2100,50.0,Yes,2025-09-16
1247,69.0,No,
1652,65.0,No,
1401,50.0,No,
1217,93.0,No,
1574,68.0,No,
1040,64.0,No,
1067,90.0,Yes,2025-03-15
1996,86.0,No,
2299,54.0,No,
1151,,No,
1917,55.0,No,
1492,79.0,No,
1108,,No,
1893,66.0,No,
1649,56.0,No,
2284,52.0,No,
2085,62.0,No,
2193,,Yes,2025-01-14
2051,94.0,No,
1713,59.0,No,
1310,,Yes,2025-09-23
1349,73.0,No,
1670,78.0,Yes,2025-10-28
2336,82.0,Yes,2025-03-13
1654,68.0,Yes,2025-12-01
1252,63.0,Yes,2025-01-03
1419,99.0,No,
1776,52.0,No,
1086,83.0,No,
1092,57.0,No,
1394,62.0,No,
1702,75.0,No,
2137,95.0,Yes,
1196,89.0,Yes,2025-03-25
1560,67.0,No,
2063,92.0,No,
1950,84.0,No,
1195,81.0,Yes,2025-04-13
1749,97.0,No,
1882,63.0,No,
1510,96.0,No,
2337,57.0,Yes,2025-08-27
1427,69.0,No,
2318,96.0,No,
1818,80.0,No,
2247,,No,
1268,86.0,No,
1609,95.0,No,
2228,51.0,No,
1349,61.0,No,
1061,,No,
2043,76.0,No,
1591,73.0,No,
2225,93.0,No,
1756,74.0,No,
2395,63.0,No,
1527,,No,
2074,75.0,No,
1455,80.0,No,
2477,,No,
1773,,No,
1777,73.0,No,
2268,53.0,No,
1298,92.0,Yes,
1362,60.0,Yes,
1791,88.0,No,
1165,71.0,Yes,
1070,94.0,No,
1512,64.0,Yes,
1107,66.0,No,
2452,92.0,No,
1194,87.0,No,
2326,94.0,No,
1603,59.0,No,
1502,,Yes,2025-01-01
1728,71.0,No,
1947,80.0,No,
1553,88.0,Yes,
1765,93.0,No,
1299,91.0,No,
1940,72.0,No,
1634,,No,
1594,55.0,No,
2464,81.0,No,
1602,60.0,No,
1769,76.0,No,
1962,51.0,No,
1338,66.0,No,
1690,55.0,No,
1411,92.0,No,
2423,62.0,No,
1956,99.0,No,
2237,99.0,No,
1939,95.0,No,
1510,55.0,No,
2485,99.0,No,
2086,,No,
2060,100.0,No,
1446,54.0,No,
1674,71.0,No,
2217,51.0,Yes,2025-06-17
1535,71.0,No,
1701,70.0,Yes,2025-12-04
1945,75.0,No,
1258,84.0,Yes,2025-09-13
1434,52.0,No,
1195,,Yes,2025-01-29
1329,71.0,No,
1985,,No,
1608,82.0,No,
1239,69.0,No,
1250,98.0,No,
2149,97.0,Yes,2025-08-03
1221,95.0,No,
1775,66.0,No,
1618,51.0,No,
2232,90.0,No,
1164,,Yes,2025-12-17
1349,100.0,No,
1072,83.0,Yes,2025-12-26
2084,100.0,Yes,2025-01-31
1213,,Yes,2025-04-16
1399,54.0,No,
1328,85.0,Yes,
1515,75.0,No,
1090,50.0,Yes,
2073,94.0,No,
1450,52.0,Yes,2025-12-04
1322,91.0,No,
1879,98.0,No,
1865,61.0,No,
2205,93.0,Yes,2025-01-11
1715,94.0,No,
1479,51.0,Yes,
1905,67.0,No,
2289,64.0,No,
1522,52.0,No,
2070,89.0,No,
1953,60.0,No,
1104,90.0,No,
1105,61.0,No,
1018,82.0,No,
1792,93.0,No,
1237,79.0,No,
1426,98.0,No,
1331,50.0,No,
2434,,No,
1188,82.0,No,
1356,97.0,Yes,2025-05-14
1391,51.0,Yes,
2199,,No,
2106,77.0,No,
1038,59.0,No,
1054,71.0,No,
1682,76.0,Yes,2025-04-11
2368,100.0,No,
1742,62.0,No,
1153,96.0,No,
2140,86.0,No,
2199,86.0,Yes,2025-07-15
1173,59.0,No,
1282,59.0,No,
2237,65.0,No,
2291,64.0,Yes,2025-10-30
1935,78.0,No,
1278,100.0,No,
1849,58.0,No,
1384,50.0,Yes,2025-08-25
1856,95.0,Yes,2025-07-23
2058,72.0,Yes,2025-03-01
1758,92.0,Yes,2025-08-14
1903,82.0,Yes,2025-04-04
1242,84.0,No,
1648,73.0,No,
1132,91.0,No,
1316,98.0,No,
1860,91.0,No,
1396,69.0,No,
1215,54.0,No,
1914,54.0,No,
2099,66.0,Yes,2025-01-30
1047,54.0,No,
1346,76.0,No,
2488,86.0,No,
2287,75.0,Yes,2025-02-07
1507,93.0,No,
1318,68.0,No,
2280,94.0,No,
2215,75.0,No,
2329,60.0,No,
2151,77.0,Yes,2025-12-29
1489,67.0,No,
1643,57.0,No,
2067,71.0,No,
1893,100.0,No,
1832,59.0,Yes,
1270,89.0,No,
2331,54.0,No,
1557,62.0,No,
2074,100.0,No,
2293,94.0,Yes,2025-11-27
2211,90.0,Yes,2025-03-20
1373,87.0,No,
2250,93.0,No,
1066,56.0,Yes,
1905,76.0,Yes,2025-11-07
1344,75.0,No,
2145,100.0,No,
1607,94.0,No,
2072,93.0,Yes,2025-06-04
1907,79.0,Yes,2025-08-17
1980,86.0,No,
1749,100.0,Yes,2025-05-26
2287,72.0,Yes,
2327,95.0,No,
1043,85.0,No,
2054,71.0,No,
1113,98.0,Yes,2025-07-21
1017,81.0,No,
1387,93.0,Yes,2025-02-23
2205,60.0,No,
2012,70.0,No,
1925,86.0,No,
2063,94.0,Yes,2025-01-15
1755,91.0,Yes,2025-02-10
2140,60.0,Yes,2025-04-06
1339,83.0,No,
2251,64.0,No,
1107,51.0,No,
1735,96.0,No,
1868,87.0,No,
2441,59.0,Yes,
2407,58.0,No,
2189,,No,
1571,89.0,No,
2152,86.0,No,
2403,97.0,No,
1600,51.0,Yes,2025-04-30
1460,68.0,No,
1821,85.0,No,
1734,,No,
1983,94.0,No,
1561,95.0,Yes,2025-08-14
1345,58.0,No,
2395,95.0,Yes,2025-12-24
2375,84.0,No,
1751,70.0,No,
1581,69.0,Yes,2025-12-25
1810,64.0,No,
2169,53.0,No,
2058,74.0,No,
2306,50.0,No,
2278,63.0,Yes,2025-09-21
2073,98.0,Yes,2025-08-14
1125,57.0,Yes,2025-08-20
1720,50.0,Yes,2025-05-08
2438,91.0,Yes,2025-02-23
2094,,No,
2098,68.0,Yes,2025-03-25
2311,57.0,No,
1877,,No,
2001,57.0,No,
1425,57.0,No,
1416,76.0,No,
1089,69.0,No,
1934,75.0,No,
2033,93.0,Yes,2025-12-19
1936,65.0,No,
1131,88.0,Yes,2025-10-17
1328,51.0,Yes,2025-06-13
1213,67.0,No,
1722,57.0,No,
2020,54.0,Yes,
1320,88.0,No,
1831,76.0,No,
2044,60.0,No,
1688,51.0,No,
1223,92.0,Yes,2025-07-28
1899,60.0,No,
2411,,No,
1548,60.0,No,
1501,59.0,Yes,
1016,59.0,Yes,2025-12-16
1155,95.0,No,
1636,74.0,No,
1112,50.0,No,
2132,71.0,Yes,2025-03-22
2494,71.0,No,
1235,83.0,Yes,
2398,76.0,No,
2443,53.0,No,
2100,54.0,No,
1027,64.0,No,
2281,78.0,No,
1933,57.0,Yes,2025-06-06
1429,,Yes,2025-09-03
2116,100.0,No,
2200,78.0,Yes,2025-09-09
2384,89.0,No,
1066,82.0,Yes,2025-08-27
1929,91.0,No,
1683,,No,
1641,61.0,No,
1459,84.0,Yes,
1958,92.0,No,
1417,53.0,No,
1839,75.0,No,
1812,65.0,No,
2311,98.0,Yes,2025-03-14
2399,86.0,No,
1264,83.0,No,
2431,73.0,Yes,2025-03-07
2193,88.0,No,
2040,52.0,No,
1463,94.0,No,
2434,86.0,Yes,2025-11-07
1711,81.0,No,
2314,84.0,No,
1512,94.0,No,
1390,,No,
1762,59.0,No,
1291,62.0,Yes,2025-07-04
1973,69.0,No,
1385,56.0,No,
1333,52.0,No,
1168,,No,
1772,96.0,No,
2088,98.0,No,
1091,71.0,No,
1500,83.0,No,
2379,97.0,No,
1094,75.0,No,
2092,58.0,No,
1080,84.0,Yes,2025-08-26
1410,52.0,No,
1430,98.0,No,
1874,82.0,No,
1123,57.0,No,
2383,74.0,Yes,2025-05-11
1756,77.0,No,
1313,98.0,No,
2409,75.0,Yes,2025-12-02
1456,83.0,No,
1269,58.0,No,
1705,87.0,No,
1710,74.0,No,
1591,70.0,No,
2478,96.0,No,
2285,,No,
1252,70.0,No,
2425,59.0,No,
1401,97.0,No,
1624,80.0,No,
1508,99.0,No,
1518,60.0,Yes,2025-04-18
1120,70.0,No,
1211,70.0,No,
1518,82.0,Yes,
2390,50.0,No,
2055,,No,
1433,82.0,Yes,2025-07-25
1423,68.0,No,
2028,56.0,No,
2318,98.0,No,
1589,,No,
2261,71.0,No,
2415,,Yes,2025-04-10
1596,61.0,Yes,
1860,54.0,No,
1121,64.0,No,
1581,57.0,No,
1320,,Yes,2025-08-24
1716,,No,
1775,99.0,Yes,2025-10-01
2118,85.0,No,
2221,84.0,No,
2199,84.0,Yes,2025-07-22
1597,73.0,No,
1991,56.0,Yes,2025-02-27
1169,57.0,No,
1280,50.0,Yes,2025-08-10
1906,83.0,No,
1031,82.0,No,
1976,81.0,No,
1228,83.0,Yes,
2262,80.0,No,
1818,,No,
1282,81.0,Yes,
1510,78.0,No,
1823,,Yes,2025-11-30
1114,63.0,No,
1386,,No,
1908,73.0,No,
1891,97.0,No,
2255,80.0,No,
2149,60.0,Yes,2025-10-19
2213,66.0,Yes,2025-11-09
2447,59.0,No,
1666,67.0,No,
2402,74.0,No,
1429,66.0,No,
1430,79.0,No,
2182,72.0,No,
2351,51.0,No,
1001,55.0,No,
1442,67.0,No,
1236,89.0,No,
1997,67.0,No,
1800,63.0,No,
1611,56.0,No,
1813,53.0,No,
2207,92.0,No,
1470,63.0,No,
1224,77.0,No,
1563,99.0,No,
2346,70.0,No,
1443,,Yes,2025-08-27
2159,61.0,No,
1280,81.0,Yes,2025-09-28
1201,79.0,Yes,
1506,59.0,No,
1150,,No,
1739,75.0,No,
1200,64.0,Yes,
1232,54.0,Yes,2025-11-21
1284,63.0,No,
1913,96.0,No,
1829,94.0,No,
1684,89.0,No,
1375,85.0,No,
1504,60.0,No,
1541,88.0,No,
2039,93.0,No,
1614,94.0,Yes,2025-07-08
1464,72.0,No,
2067,99.0,No,
2147,54.0,No,
1261,82.0,No,
1574,73.0,No,
2455,58.0,Yes,
2455,95.0,No,
2475,60.0,Yes,
1249,79.0,No,
1270,76.0,Yes,2025-01-08
2051,,Yes,2025-02-05
1811,76.0,No,
1418,99.0,No,
2373,67.0,Yes,2025-02-18
1277,88.0,No,
1178,87.0,Yes,2025-04-17
1317,62.0,No,
1070,80.0,Yes,2025-11-06
1578,98.0,No,
2000,78.0,No,
1381,77.0,Yes,2025-10-25
1863,79.0,No,
1216,69.0,No,
1631,54.0,No,
1964,95.0,No,
1793,76.0,No,
1549,51.0,No,
2471,64.0,No,
2197,78.0,No,
1428,90.0,No,
1210,52.0,No,
1993,58.0,No,
1545,74.0,No,
1166,78.0,No,
1206,60.0,No,
1411,87.0,Yes,2025-06-05
2470,82.0,No,
1189,97.0,No,
1499,80.0,No,
2291,94.0,No,
1105,84.0,No,
1431,58.0,No,
2427,89.0,No,
1420,61.0,No,
1156,70.0,No,
2004,51.0,No,
2085,95.0,Yes,2025-08-16
2021,,No,
1468,58.0,No,
1502,50.0,No,
1911,86.0,No,
1447,84.0,No,
2396,97.0,No,
2386,77.0,No,
2163,97.0,Yes,2025-07-01
1861,54.0,No,
2242,76.0,No,
1677,64.0,No,
1433,71.0,No,
2229,,Yes,2025-11-02
1863,82.0,No,
1441,65.0,No,
2223,77.0,No,
1916,61.0,No,
2103,100.0,No,
1077,65.0,No,
2410,66.0,No,
1633,72.0,No,
1778,,No,
2189,76.0,Yes,2025-11-03
1049,69.0,No,
1112,62.0,No,
1768,60.0,No,
1144,100.0,No,
2493,63.0,Yes,2025-06-18
1155,93.0,No,
2448,79.0,Yes,
1560,68.0,No,
2459,63.0,Yes,2025-03-24
1341,64.0,No,
1305,90.0,No,
2134,65.0,No,
2392,73.0,No,
1354,87.0,No,
2441,79.0,No,
2273,85.0,No,
1040,70.0,Yes,2025-06-06
1812,67.0,Yes,2025-10-06
1809,,No,
1760,67.0,No,
2454,59.0,Yes,2025-02-01
1818,77.0,No,
1121,80.0,Yes,2025-11-08
1794,55.0,No,
2489,81.0,No,
2177,69.0,No,
2173,79.0,Yes,2025-05-16
1088,57.0,No,
1016,86.0,No,
1726,79.0,Yes,2025-12-06
2415,82.0,No,
1886,,Yes,2025-05-22
2416,99.0,No,
1524,63.0,No,
1933,68.0,No,
1730,65.0,No,
1071,72.0,Yes,2025-05-17
1598,89.0,Yes,2025-02-27
1091,82.0,Yes,2025-07-14
2057,77.0,Yes,
2105,58.0,No,
2161,90.0,No,
1570,,Yes,2025-03-22
1890,98.0,No,
1116,,No,
1697,58.0,No,
2308,51.0,No,
1503,59.0,No,
1824,54.0,No,
1065,,No,
2487,72.0,No,
1957,95.0,No,
1994,67.0,No,
1329,71.0,Yes,2025-12-05
2320,60.0,No,
2451,63.0,No,
2387,62.0,No,
1788,,Yes,2025-07-25
1482,97.0,No,
1039,77.0,No,
2226,90.0,Yes,2025-04-11
1418,53.0,No,
2061,,No,
2173,79.0,Yes,
2496,74.0,Yes,2025-02-04
2413,81.0,Yes,2025-09-22
2320,60.0,No,
1273,51.0,No,
2485,89.0,No,
1605,50.0,No,
1558,64.0,No,
1982,88.0,No,
2038,92.0,Yes,2025-03-01
2018,,No,
2344,79.0,No,
1930,83.0,No,
1243,56.0,No,
1221,82.0,No,
1048,65.0,No,
1550,52.0,No,
1111,74.0,Yes,2025-05-25
1445,88.0,No,
1803,51.0,Yes,2025-05-26
1921,86.0,Yes,2025-06-09
1551,89.0,No,
2200,79.0,Yes,2025-09-06
1378,52.0,Yes,
2473,,No,
1774,62.0,Yes,2025-11-12
1620,,No,
2025,69.0,No,
2335,89.0,No,
1487,51.0,Yes,
2469,67.0,No,
1797,100.0,No,
1427,,No,
1367,94.0,No,
1470,81.0,No,
1337,91.0,No,
1562,81.0,No,
2252,75.0,No,
1142,63.0,No,
1383,61.0,No,
2133,94.0,No,
1888,58.0,No,
1509,79.0,Yes,2025-07-27
1234,,No,
2126,60.0,No,
2015,89.0,Yes,2025-03-02
1324,61.0,Yes,
1669,63.0,No,
1758,79.0,Yes,
2420,76.0,No,
1021,91.0,Yes,2025-05-18
1621,82.0,Yes,2025-06-18
2230,52.0,Yes,2025-04-26
1828,60.0,No,
1562,92.0,No,
2167,78.0,No,
2492,54.0,No,
1213,95.0,Yes,2025-10-04
2434,54.0,No,
1129,77.0,No,
1199,76.0,Yes,
1117,96.0,No,
2357,,No,
1973,73.0,No,
2015,67.0,No,
1193,95.0,No,
1290,66.0,Yes,
1884,79.0,No,
1886,83.0,No,
1836,65.0,No,
1136,76.0,No,
2067,91.0,Yes,2025-03-25
1827,100.0,No,
1571,61.0,Yes,2025-07-17
1487,90.0,Yes,2025-09-16
2380,53.0,Yes,2025-07-01
1141,86.0,Yes,2025-11-04
1122,82.0,Yes,2025-10-31
1543,,No,
1443,84.0,No,
1611,56.0,Yes,2025-05-15
1053,75.0,Yes,2025-07-01
1010,,Yes,2025-06-30
1752,95.0,No,
1288,90.0,No,
1058,78.0,No,
1937,60.0,No,
2213,98.0,Yes,2025-11-30
1926,58.0,Yes,
1015,93.0,No,
2276,52.0,No,
2459,64.0,No,
1014,55.0,No,
1092,88.0,No,
1309,60.0,No,
1925,72.0,No,
2028,68.0,Yes,2025-04-17
1413,91.0,No,
1124,79.0,No,
2468,62.0,No,
2086,79.0,No,
2451,68.0,No,
1131,69.0,No,
1546,75.0,No,
1825,87.0,Yes,2025-03-15
2222,92.0,Yes,2025-05-01
1745,93.0,No,
2137,85.0,Yes,2025-11-19
2252,96.0,No,
1276,56.0,No,
1958,59.0,Yes,2025-02-24
2274,57.0,No,
1725,63.0,No,
2083,98.0,Yes,2025-02-19
2424,84.0,No,
2071,71.0,No,
1904,61.0,No,
1974,77.0,No,
1167,54.0,No,
1569,74.0,Yes,2025-05-18
1943,79.0,No,
2415,89.0,No,
1371,88.0,Yes,2025-02-24
1867,81.0,Yes,2025-10-30
1824,,No,
1472,51.0,No,
2216,87.0,No,
1365,69.0,No,
2358,51.0,No,
1857,54.0,No,
1580,60.0,No,
1771,100.0,No,
1379,76.0,No,
1226,70.0,Yes,
2233,77.0,No,
1232,,No,
2022,99.0,No,
1549,63.0,Yes,2025-05-26
1289,,No,
2418,73.0,No,
1375,88.0,Yes,2025-01-04
2480,55.0,No,
2473,58.0,Yes,2025-07-21
1395,77.0,No,
2459,69.0,No,
1436,65.0,Yes,2025-05-15
1804,94.0,Yes,
1575,96.0,No,
1646,85.0,No,
1920,52.0,No,
2045,63.0,Yes,2025-05-12
1636,89.0,Yes,2025-01-26
1110,91.0,No,
1386,56.0,No,
1382,50.0,No,
2451,74.0,No,
1669,73.0,Yes,2025-02-16
2030,61.0,Yes,2025-02-23
2194,74.0,No,
1104,88.0,Yes,2025-11-16
2194,77.0,No,
1293,80.0,Yes,2025-04-27
1341,51.0,No,
2048,85.0,Yes,2025-06-09
1342,65.0,No,
1695,62.0,No,
2349,74.0,No,
2219,79.0,No,
1835,84.0,No,
1358,52.0,No,
2352,57.0,No,
2208,89.0,No,
1648,70.0,No,
1278,99.0,Yes,2025-04-10
1003,,No,
1463,68.0,Yes,2025-09-14
2393,100.0,Yes,2025-05-10
2466,,No,
2264,52.0,Yes,
1740,76.0,No,
2340,,Yes,2025-12-18
2027,86.0,No,
1986,54.0,No,
2286,78.0,Yes,2025-09-22
2064,51.0,Yes,2025-01-07
2031,87.0,No,
1855,90.0,No,
1126,85.0,No,
1678,51.0,No,
1332,70.0,Yes,2025-10-19
1379,59.0,No,
1703,91.0,No,
1801,61.0,No,
2030,85.0,No,
1808,57.0,Yes,2025-04-05
2417,75.0,No,
1682,67.0,No,
1092,,No,
1197,97.0,No,
1215,84.0,Yes,2025-03-14
1141,68.0,Yes,2025-06-21
1954,82.0,No,
2500,51.0,No,
1531,98.0,No,
1236,91.0,No,
2490,71.0,Yes,2025-10-25
1079,73.0,No,
1716,94.0,No,
2284,95.0,Yes,
2244,95.0,Yes,2025-06-15
1414,79.0,No,
1421,72.0,Yes,2025-05-28
1016,86.0,Yes,2025-06-28
2179,80.0,No,
2104,68.0,No,
1555,,No,
2114,53.0,No,
1396,,No,
2047,80.0,No,
2159,92.0,No,
2332,53.0,No,
2155,50.0,No,
1837,68.0,No,
1090,95.0,No,
2008,51.0,No,
1562,89.0,Yes,2025-03-16
1457,68.0,No,
2329,59.0,No,
2484,81.0,No,
1770,99.0,No,
2328,91.0,No,
1840,58.0,Yes,
1468,86.0,No,
1627,52.0,No,
1888,75.0,Yes,2025-07-29
1402,71.0,Yes,2025-12-11
1804,65.0,No,
2114,81.0,No,
1981,61.0,No,
2114,58.0,No,
2168,80.0,Yes,2025-02-10
1764,65.0,No,
1604,77.0,No,
2334,63.0,No,
1059,,No,
1037,81.0,No,
1677,77.0,Yes,2025-02-14
1566,,No,
1842,,No,
2457,53.0,No,
1207,79.0,No,
2359,66.0,No,
1847,69.0,No,
2112,95.0,No,
1134,91.0,No,
1196,93.0,No,
1347,69.0,Yes,
1632,81.0,No,
1424,62.0,No,
1374,72.0,No,
2007,68.0,No,
2488,67.0,Yes,2025-01-01
2485,84.0,Yes,2025-10-25
2151,82.0,No,
1712,93.0,No,
2224,57.0,No,
1526,78.0,No,
1712,63.0,No,
2140,60.0,Yes,2025-05-12
1700,77.0,No,
2002,56.0,No,
1736,51.0,No,
1009,,No,
2187,91.0,No,
2106,,Yes,2025-12-05
1419,98.0,No,
1261,81.0,Yes,2025-11-23
1400,87.0,No,
1893,,Yes,2025-11-05
2042,89.0,Yes,2025-03-18
1435,66.0,No,
1585,91.0,No,
2037,,No,
2139,78.0,Yes,
2402,66.0,No,
1836,62.0,Yes,2025-12-15
1220,74.0,No,
1677,76.0,No,
2432,69.0,No,
1125,70.0,No,
1755,59.0,No,
1055,67.0,No,
1670,96.0,No,
1903,56.0,No,
1889,91.0,No,
2262,78.0,No,
2015,52.0,No,
1173,70.0,Yes,
2326,92.0,Yes,2025-02-16
1159,76.0,Yes,2025-08-21
1865,100.0,Yes,2025-09-21
2144,60.0,No,
2186,64.0,No,
1230,94.0,Yes,2025-08-02
1704,75.0,Yes,2025-07-10
1474,90.0,No,
2312,57.0,No,
1428,53.0,No,
1796,,No,
1490,87.0,No,
2338,68.0,No,
2227,88.0,No,
2492,91.0,No,
1928,90.0,No,
1175,91.0,Yes,2025-06-14
2264,58.0,No,
1793,,No,
2211,91.0,Yes,2025-10-26
1520,59.0,No,
2469,64.0,Yes,2025-02-10
1913,78.0,Yes,2025-02-11
1830,99.0,No,
1836,79.0,Yes,2025-10-04
2080,76.0,No,
1827,94.0,No,
1263,96.0,No,
2160,100.0,No,
2172,,Yes,2025-01-02
2066,53.0,Yes,2025-09-21
1523,98.0,No,
1944,87.0,No,
2202,66.0,Yes,2025-04-11
1156,,Yes,2025-10-30
1146,65.0,No,
2213,55.0,No,
1844,67.0,No,
1726,62.0,No,
2272,65.0,No,
1748,84.0,No,
1273,60.0,No,
1075,94.0,No,
1457,51.0,Yes,2025-01-09
1910,55.0,No,
1081,80.0,Yes,2025-06-29
2360,52.0,Yes,2025-04-13
1302,54.0,No,
1020,69.0,Yes,2025-03-16
1191,81.0,Yes,2025-04-30
2099,73.0,No,
1136,82.0,Yes,2025-01-09
1433,67.0,No,
1314,,No,
1667,92.0,No,
2078,69.0,No,
